Abbreviation,TeamName,GridPosition,Position,Points,Year,Race
HAM,Mercedes,2.0,1.0,25.0,2021,Bahrain Grand Prix
VER,Red Bull Racing,1.0,2.0,18.0,2021,Bahrain Grand Prix
BOT,Mercedes,3.0,3.0,16.0,2021,Bahrain Grand Prix
NOR,McLaren,7.0,4.0,12.0,2021,Bahrain Grand Prix
PER,Red Bull Racing,0.0,5.0,10.0,2021,Bahrain Grand Prix
LEC,Ferrari,4.0,6.0,8.0,2021,Bahrain Grand Prix
RIC,McLaren,6.0,7.0,6.0,2021,Bahrain Grand Prix
SAI,Ferrari,8.0,8.0,4.0,2021,Bahrain Grand Prix
TSU,AlphaTauri,13.0,9.0,2.0,2021,Bahrain Grand Prix
STR,Aston Martin,10.0,10.0,1.0,2021,Bahrain Grand Prix
RAI,Alfa Romeo Racing,14.0,11.0,0.0,2021,Bahrain Grand Prix
GIO,Alfa Romeo Racing,12.0,12.0,0.0,2021,Bahrain Grand Prix
OCO,Alpine,16.0,13.0,0.0,2021,Bahrain Grand Prix
RUS,Williams,15.0,14.0,0.0,2021,Bahrain Grand Prix
VET,Aston Martin,20.0,15.0,0.0,2021,Bahrain Grand Prix
MSC,Haas F1 Team,18.0,16.0,0.0,2021,Bahrain Grand Prix
GAS,AlphaTauri,5.0,17.0,0.0,2021,Bahrain Grand Prix
LAT,Williams,17.0,18.0,0.0,2021,Bahrain Grand Prix
ALO,Alpine,9.0,19.0,0.0,2021,Bahrain Grand Prix
MAZ,Haas F1 Team,19.0,20.0,0.0,2021,Bahrain Grand Prix
VER,Red Bull Racing,3.0,1.0,25.0,2021,Emilia Romagna Grand Prix
HAM,Mercedes,1.0,2.0,19.0,2021,Emilia Romagna Grand Prix
NOR,McLaren,7.0,3.0,15.0,2021,Emilia Romagna Grand Prix
LEC,Ferrari,4.0,4.0,12.0,2021,Emilia Romagna Grand Prix
SAI,Ferrari,11.0,5.0,10.0,2021,Emilia Romagna Grand Prix
RIC,McLaren,6.0,6.0,8.0,2021,Emilia Romagna Grand Prix
GAS,AlphaTauri,5.0,7.0,6.0,2021,Emilia Romagna Grand Prix
STR,Aston Martin,10.0,8.0,4.0,2021,Emilia Romagna Grand Prix
OCO,Alpine,9.0,9.0,2.0,2021,Emilia Romagna Grand Prix
ALO,Alpine,15.0,10.0,1.0,2021,Emilia Romagna Grand Prix
PER,Red Bull Racing,2.0,11.0,0.0,2021,Emilia Romagna Grand Prix
TSU,AlphaTauri,20.0,12.0,0.0,2021,Emilia Romagna Grand Prix
RAI,Alfa Romeo Racing,16.0,13.0,0.0,2021,Emilia Romagna Grand Prix
GIO,Alfa Romeo Racing,17.0,14.0,0.0,2021,Emilia Romagna Grand Prix
VET,Aston Martin,0.0,15.0,0.0,2021,Emilia Romagna Grand Prix
MSC,Haas F1 Team,18.0,16.0,0.0,2021,Emilia Romagna Grand Prix
MAZ,Haas F1 Team,19.0,17.0,0.0,2021,Emilia Romagna Grand Prix
BOT,Mercedes,8.0,18.0,0.0,2021,Emilia Romagna Grand Prix
RUS,Williams,12.0,19.0,0.0,2021,Emilia Romagna Grand Prix
LAT,Williams,14.0,20.0,0.0,2021,Emilia Romagna Grand Prix
HAM,Mercedes,2.0,1.0,25.0,2021,Portuguese Grand Prix
